K,T_train,T_test,min_test_events,rho_naive_constant,rho_drive_constant,delta_rho_constant,rho_time,rho_time_drive,delta_rho_time_adjusted,delta_rho_shift_p,rank1_delta,crossfit_projection_energy,crossfit_projection_p,crossfit_loading_alignment,crossfit_loading_p,orthogonal_leakage_ratio,predicted_geometry_cosine,predicted_geometry_relerr,residual_spike_ratio,residual_pc_alignment,residual_alignment_label_p,brier_naive,brier_drive,brier_time,brier_time_drive,logloss_naive,logloss_drive,logloss_time,logloss_time_drive,brier_gain_drive_vs_naive,brier_gain_factor_beyond_time,logloss_gain_drive_vs_naive,logloss_gain_factor_beyond_time,window,window_kind,event_type,q,K_requested
6,1380,2880,38,0.7937383957369255,0.7937305914914699,7.804245455655945e-06,0.6931676779688268,0.692126859254885,0.0010408187139417935,0.1936127744510978,0.8256091570113377,0.6841373013517029,0.007984031936127744,0.9058410805259562,0.007984031936127744,0.5620166355141195,0.6063579986511518,4.3026389869243,2.5036870456383187,0.6287749952716497,0.40251949610077986,0.029122034992448708,0.028925968365840157,0.4478153435459496,0.5308680365629272,0.1601585221463251,0.18334745757505883,6.176613893419278,7.3305835033495725,0.00019606662660855145,-0.08305269301697765,-0.023188935428733737,-1.1539696099302947,FTX_collapse,shock,volatility_burst,0.985,20
10,1860,3840,129,0.931285473686448,0.8420455884854632,0.0892398852009848,0.8939856068788435,0.8050388757350769,0.08894673114376661,0.001996007984031936,0.6457113321788697,0.6055869236810857,0.011976047904191617,0.9664360269277652,0.001996007984031936,0.6280231495051989,0.41077371513092475,1.300995710135729,3.2079190575657397,0.9888735105785,0.008998200359928014,0.042028956812630275,0.04045359162931742,0.39843173137039206,0.4528019340806804,0.16079129899948538,0.18015088240683147,5.475630812729631,6.22611586019021,0.0015753651833128532,-0.05437020271028836,-0.019359583407346087,-0.7504850474605789,Banking_crypto,shock,volume_burst,0.95,10
20,1860,3840,110,0.9490803452340891,0.842511038947201,0.1065693062868881,0.9194978874392263,0.810822861251298,0.10867502618792835,0.001996007984031936,0.6301888559987692,0.563108872839568,0.001996007984031936,0.9414934221241305,0.001996007984031936,0.6609774029100783,0.3196462153362883,1.2870955614291786,3.4863790060269033,0.9730305819493413,0.05398920215956809,0.04364105094402306,0.042342418585942385,0.6548729388455878,0.09909100354009667,0.17535158712971657,0.18856626757398126,9.009265185097842,1.3323820876092782,0.0012986323580806772,0.5557819353054911,-0.013214680444264687,7.676883097488564,Banking_crypto,shock,volume_burst,0.95,20
10,1860,3840,66,0.9308634655345696,0.8336821715497342,0.09718129398483533,0.8950350453132111,0.7921150868779805,0.10291995843523061,0.001996007984031936,0.5627713268270483,0.523499961322136,0.043912175648702596,0.9627356301049819,0.001996007984031936,0.6902898222294312,0.4448889384761759,1.2786690276011217,3.1220985187549,0.9812353511578321,0.0647870425914817,0.030364586966050607,0.029194253258964267,0.5425777830639091,0.504696652124247,0.13395815153023893,0.13516439860850832,7.481462492355701,6.956724672817378,0.00117033370708634,0.037881130939662166,-0.0012062470782693846,0.5247378195383225,Banking_crypto,shock,volume_burst,0.97,10
20,1860,3840,66,0.9440915864806543,0.8320371460763208,0.11205444040433343,0.9134133673784309,0.8070604881566311,0.10635287922179981,0.001996007984031936,0.732110998191255,0.6233082902249062,0.001996007984031936,0.9175263588512297,0.001996007984031936,0.6137521566340575,0.36993763309205113,1.2185558879822307,3.653734068642576,0.9705642617970219,0.03199360127974405,0.029879422814276153,0.02900963173627106,0.1191656393894748,0.2483991769605215,0.1312812405791233,0.13143811977780856,1.6260082337167918,3.412680787795187,0.0008697910780050937,-0.1292335375710467,-0.00015687919868526135,-1.786672554078395,Banking_crypto,shock,volume_burst,0.97,20
10,1860,3840,33,0.9118220342434455,0.8197789373649553,0.09204309687849022,0.870228123292992,0.7861711687156645,0.08405695457732754,0.001996007984031936,0.6888611318506626,0.6167601473565939,0.021956087824351298,0.9414270200934396,0.003992015968063872,0.6190636902937786,0.5963752033994932,0.8227854206051899,2.7934951936268457,0.9674149949854072,0.07318536292741452,0.01815828950457867,0.017545212885736173,0.49898094054761466,0.5306612100952632,0.08062114069978786,0.08261406039894924,6.8880278015497876,7.32573006864381,0.0006130766188424987,-0.031680269547648576,-0.0019929196991613773,-0.43770226709402227,Banking_crypto,shock,volume_burst,0.985,10
20,1860,3840,33,0.9336766505596283,0.8202252758907486,0.11345137466887978,0.899264816414558,0.790164333082115,0.10910048333244304,0.001996007984031936,0.6727952256345029,0.5918514172099998,0.001996007984031936,0.9354762321343149,0.001996007984031936,0.638865074008269,0.38567097226483943,1.1337346644030204,3.383121130840631,0.9605383015628153,0.0065986802639472104,0.017569318033466636,0.017156644868476238,0.10639862828908397,0.0621261058518696,0.07960109797310416,0.08304041710195764,1.463129967551294,0.8513959499927057,0.00041267316499039863,0.04427252243721438,-0.0034393191288534797,0.6117340175585884,Banking_crypto,shock,volume_burst,0.985,20
10,1860,3840,98,0.8422360736214627,0.726388730722616,0.11584734289884668,0.7531255940495589,0.597344095014635,0.1557814990349239,0.001996007984031936,0.7951966218235278,0.6762590888278827,0.001996007984031936,0.9168149175293109,0.001996007984031936,0.568982346970575,0.5574050517629894,0.878174462751943,3.6529723494418835,0.9405422009783031,0.48170365926814634,0.0328056479341302,0.03246410988798532,0.5022137281901039,0.46594869221002794,0.13506812932708068,0.13925260180716487,6.8954076379241265,6.394021085413171,0.000341538046144875,0.036265035980075966,-0.004184472480084189,0.5013865525109553,Banking_crypto,shock,volatility_burst,0.95,10
20,1860,3840,53,0.8726049657757209,0.7195775537632476,0.15302741201247327,0.8003852105617837,0.6401437695469616,0.16024144101482207,0.001996007984031936,0.45170345712581345,0.3357918438617415,0.00998003992015968,0.8427699416286388,0.001996007984031936,0.8149896662741841,0.35272008842156505,1.114551990039215,4.061852379001162,0.9160522163199951,0.5788842231553689,0.03328389358330865,0.03304958062995843,0.7635515539173348,0.11983666252559098,0.1385524404468136,0.14406451992594815,10.501382414512781,1.6073903278586337,0.00023431295335022556,0.6437148913917438,-0.005512079479134541,8.893992086654148,Banking_crypto,shock,volatility_burst,0.95,20
10,1860,3840,56,0.8145429711171126,0.7228558971403624,0.09168707397675024,0.6942033146330299,0.6119466072439607,0.0822567073890692,0.001996007984031936,0.626826888249039,0.4731932994086053,0.007984031936127744,0.8518492569638724,0.001996007984031936,0.7258145083866603,0.5165558873015317,1.0000680519912162,3.405195439327992,0.9433928933167406,0.3087382523495301,0.02141432185452283,0.021200001201396212,0.4830914659476628,0.4510726556351332,0.09461427619624,0.0982134062432927,6.648590343971244,6.205163075097341,0.00021432065312661924,0.032018810312529566,-0.003599130047052701,0.4434272688739025,Banking_crypto,shock,volatility_burst,0.97,10
20,1860,3840,31,0.8686052015167279,0.7214738937756713,0.14713130774105665,0.795678614500155,0.6539253131319062,0.14175330136824882,0.001996007984031936,0.47807823234282015,0.3224337496651654,0.003992015968063872,0.810516063885588,0.001996007984031936,0.8231441248836832,0.41231916092268617,1.3161279946237008,3.5581153043006997,0.9146753762650385,0.19616076784643072,0.022686854035241146,0.0225128157503654,0.5418517052950095,0.7092089562190864,0.10074246078332338,0.1063632826556563,7.458867189138006,9.770576315772376,0.00017403828487574588,-0.16735725092407694,-0.005620821872332912,-2.3117091266343692,Banking_crypto,shock,volatility_burst,0.97,20
