window,q,asset,hansen_J,p,df
Control_2022_Aug_A,0.97,TRXUSDT,0.001395349076674478,0.9702024534563536,1
Control_2022_Aug_A,0.97,UNIUSDT,0.2653326234862783,0.6064800135459045,1
Control_2022_Aug_A,0.97,XRPUSDT,0.8256586964037764,0.3635308736919347,1
Control_2022_Aug_B,0.95,ADAUSDT,1.5856701468279004,0.2079458414261407,1
Control_2022_Aug_B,0.95,ATOMUSDT,0.7658337939494013,0.38150899530423266,1
Control_2022_Aug_B,0.95,AVAXUSDT,1.4695077980663478,0.22542336813094588,1
Control_2022_Aug_B,0.95,BCHUSDT,3.863804766528568,0.049338323700101605,1
Control_2022_Aug_B,0.95,BNBUSDT,4.190172658337469,0.04065895612740644,1
Control_2022_Aug_B,0.95,BTCUSDT,4.765159044947916,0.029041375994402596,1
Control_2022_Aug_B,0.95,DOGEUSDT,2.6173022378514674,0.10570401423781217,1
Control_2022_Aug_B,0.95,DOTUSDT,0.8017778848690784,0.3705623422288634,1
Control_2022_Aug_B,0.95,ETCUSDT,2.9406734522424083,0.08637471391728213,1
Control_2022_Aug_B,0.95,ETHUSDT,3.5768913984717847,0.05858869270010414,1
Control_2022_Aug_B,0.95,FILUSDT,7.803034545194903,0.005215856738103319,1
Control_2022_Aug_B,0.95,LINKUSDT,5.931249513730483,0.014874691117992778,1
Control_2022_Aug_B,0.95,LTCUSDT,0.0014473991513614315,0.9696520428507347,1
Control_2022_Aug_B,0.95,NEARUSDT,1.9328506216302719,0.16444690970438702,1
Control_2022_Aug_B,0.95,SOLUSDT,0.3792019369005625,0.5380306559311805,1
Control_2022_Aug_B,0.95,TRXUSDT,1.2714633338438772,0.25949233889516776,1
Control_2022_Aug_B,0.95,UNIUSDT,0.121090478774901,0.7278547737551879,1
Control_2022_Aug_B,0.95,XRPUSDT,4.708640839772986,0.030011370005367133,1
Control_2022_Aug_B,0.97,ADAUSDT,0.5656104363672658,0.45200850358706046,1
Control_2022_Aug_B,0.97,ATOMUSDT,0.009019912070157746,0.9243360999635751,1
Control_2022_Aug_B,0.97,AVAXUSDT,0.1827441886813255,0.669025458007189,1
Control_2022_Aug_B,0.97,BCHUSDT,1.061128261433258,0.3029579957110339,1
Control_2022_Aug_B,0.97,BNBUSDT,0.009820622954973504,0.9210596213827927,1
Control_2022_Aug_B,0.97,BTCUSDT,1.305473796393748,0.2532157872156894,1
Control_2022_Aug_B,0.97,DOGEUSDT,6.60404129942059,0.010174757076592544,1
Control_2022_Aug_B,0.97,DOTUSDT,0.03677186674034114,0.8479302678246358,1
Control_2022_Aug_B,0.97,ETCUSDT,6.324703527701407,0.011906739150295942,1
Control_2022_Aug_B,0.97,ETHUSDT,3.046419362435305,0.0809153552570051,1
Control_2022_Aug_B,0.97,FILUSDT,1.1001915658154147,0.29422406746461804,1
Control_2022_Aug_B,0.97,LINKUSDT,2.0223980524732372,0.15499419771480616,1
Control_2022_Aug_B,0.97,LTCUSDT,0.03250984725488087,0.8569132302078445,1
Control_2022_Aug_B,0.97,NEARUSDT,2.129653317570248,0.14447342854472045,1
Control_2022_Aug_B,0.97,SOLUSDT,0.5789440710745227,0.44672650923049917,1
Control_2022_Aug_B,0.97,TRXUSDT,3.3010075279950497,0.06923740348663521,1
Control_2022_Aug_B,0.97,UNIUSDT,0.00136609869161323,0.9705162834956189,1
Control_2022_Aug_B,0.97,XRPUSDT,2.0544680230387597,0.15176025092794831,1
Control_2022_Oct,0.95,ADAUSDT,0.1324684874495291,0.7158862317798442,1
Control_2022_Oct,0.95,ATOMUSDT,4.0098340911381065,0.0452356019004595,1
Control_2022_Oct,0.95,AVAXUSDT,0.4791756531394247,0.4887959493080555,1
Control_2022_Oct,0.95,BCHUSDT,6.7709157444423855,0.009265528065617645,1
Control_2022_Oct,0.95,BNBUSDT,0.28144941212577246,0.595752790662305,1
Control_2022_Oct,0.95,BTCUSDT,0.03789420118174566,0.8456557385754402,1
Control_2022_Oct,0.95,DOGEUSDT,0.7173549964887963,0.397012891116285,1
Control_2022_Oct,0.95,DOTUSDT,1.1370046722092357,0.286286146181463,1
Control_2022_Oct,0.95,ETCUSDT,0.008526819021871624,0.9264272917107841,1
Control_2022_Oct,0.95,ETHUSDT,0.09728537783039651,0.7551119320363682,1
Control_2022_Oct,0.95,FILUSDT,2.5595055053106828,0.1096328703956081,1
Control_2022_Oct,0.95,LINKUSDT,0.01118095348735071,0.9157886207386507,1
Control_2022_Oct,0.95,LTCUSDT,1.637371009415972,0.20068655804554614,1
Control_2022_Oct,0.95,NEARUSDT,1.3900285157247232,0.23840028406543567,1
Control_2022_Oct,0.95,SOLUSDT,0.4988037359212546,0.48002622232906567,1
Control_2022_Oct,0.95,TRXUSDT,1.0160686180842475,0.31345336253035794,1
Control_2022_Oct,0.95,UNIUSDT,0.0010627801439776414,0.9739933234520184,1
Control_2022_Oct,0.95,XRPUSDT,0.06298699498434718,0.8018356799315534,1
Control_2022_Oct,0.97,ADAUSDT,0.49593135148793027,0.4812933271980283,1
Control_2022_Oct,0.97,ATOMUSDT,0.00096720923022986,0.97518979954037,1
Control_2022_Oct,0.97,AVAXUSDT,0.06966250810412887,0.7918288028256717,1
Control_2022_Oct,0.97,BCHUSDT,6.380764043481662,0.011536375834859558,1
Control_2022_Oct,0.97,BNBUSDT,0.04316886093823562,0.8354076408855531,1
Control_2022_Oct,0.97,BTCUSDT,0.02599311083403464,0.8719171435994413,1
Control_2022_Oct,0.97,DOGEUSDT,1.1214079847479643,0.2896154803175891,1
Control_2022_Oct,0.97,DOTUSDT,1.133883489430012,0.28694849698486546,1
Control_2022_Oct,0.97,ETCUSDT,1.5122736135352965,0.21879248065958912,1
Control_2022_Oct,0.97,ETHUSDT,0.5483855836407933,0.45897809505947385,1
Control_2022_Oct,0.97,FILUSDT,0.9499421403124453,0.32973402543435004,1
Control_2022_Oct,0.97,LINKUSDT,0.2172686866842978,0.6411289692280399,1
Control_2022_Oct,0.97,LTCUSDT,1.6101415118045104,0.20447191104610052,1
Control_2022_Oct,0.97,NEARUSDT,0.9499758884674607,0.3297254347712425,1
Control_2022_Oct,0.97,SOLUSDT,2.1491752281349727,0.14264650026069403,1
Control_2022_Oct,0.97,TRXUSDT,0.5211918933764713,0.4703336966148116,1
Control_2022_Oct,0.97,UNIUSDT,0.060162764872407015,0.8062388687379723,1
Control_2022_Oct,0.97,XRPUSDT,0.22544892732088645,0.634919108460461,1
Control_2023_Feb,0.95,ADAUSDT,0.9243296331991353,0.3363407140891501,1
Control_2023_Feb,0.95,ATOMUSDT,1.3255000942777064,0.24960733611979768,1
Control_2023_Feb,0.95,AVAXUSDT,0.889820299930203,0.34552600955715596,1
Control_2023_Feb,0.95,BCHUSDT,0.19661514535950275,0.6574669882432791,1
Control_2023_Feb,0.95,BNBUSDT,0.08943246477800745,0.7648999026534798,1
Control_2023_Feb,0.95,BTCUSDT,0.05256295539660159,0.8186620817719259,1
Control_2023_Feb,0.95,DOGEUSDT,1.0990173967656873,0.2944818457897297,1
Control_2023_Feb,0.95,DOTUSDT,0.10304064662084422,0.748210808034083,1
Control_2023_Feb,0.95,ETCUSDT,0.027615914254710314,0.8680150097641549,1
Control_2023_Feb,0.95,ETHUSDT,2.210065966849664,0.1371128078513073,1
Control_2023_Feb,0.95,FILUSDT,0.45277104603338686,0.5010219578483718,1
Control_2023_Feb,0.95,LINKUSDT,0.23363528289559587,0.6288413244222855,1
Control_2023_Feb,0.95,LTCUSDT,0.004661098401732294,0.9455689238824876,1
Control_2023_Feb,0.95,NEARUSDT,0.6192371938396437,0.43133089077464304,1
Control_2023_Feb,0.95,SOLUSDT,4.8308012889155565,0.027955634929966888,1
