window,kind,q,asset,row,ar_kind,n_positive_boxes,qA,target_norm,status,d_lo,d_hi,d_star,min_norm,required_radius_ratio
Terra_Luna,shock,0.95,UNIUSDT,17,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.009474598865626857,0.06774587637877479,0.010110114236436284,8.1135243281404,1.5908269507360226
Terra_Luna,shock,0.97,BTCUSDT,0,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.015518487591044265,0.07237458177194611,0.015518465780181291,13.091178759694762,4.141535237545833
Terra_Luna,shock,0.97,ETHUSDT,1,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.01717924351806494,0.07527888283859159,0.017179214555986103,10.618238094239377,2.7246377731597664
Terra_Luna,shock,0.97,BNBUSDT,2,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.01639747625056683,0.06564409695315673,0.016397475738693334,8.759657588841696,1.8542919576345374
Terra_Luna,shock,0.97,SOLUSDT,3,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.0070726579967857525,0.05853529344979671,0.0070726491086332745,14.275444320066132,4.924737917593342
Terra_Luna,shock,0.97,XRPUSDT,4,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.0015469443912140399,0.049157154325631704,0.0015469307658199543,8.511586739246233,1.7507531363661408
Terra_Luna,shock,0.97,ADAUSDT,5,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.012379881414748061,0.05987666726457135,0.012379883353794514,14.925181210060625,5.383231788784243
Terra_Luna,shock,0.97,DOGEUSDT,6,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.0052311958267222,0.05425974460034164,0.007552799952911808,8.99616113672945,1.9557723685631765
Terra_Luna,shock,0.97,LTCUSDT,7,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.0031223653025650145,0.05062526509796567,0.0031223469133841502,13.452773837715128,4.373483945607859
Terra_Luna,shock,0.97,LINKUSDT,8,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.015873785961496772,0.06162225263206942,0.015873756419566894,12.375470444053029,3.7010699137177947
