window,q,asset,hansen_J,p,df
Control_2022_Aug_A,0.95,AVAXUSDT,0.3086232167376638,0.5785262658770559,1
Control_2022_Aug_A,0.95,BCHUSDT,0.5270847836684532,0.46783506209362347,1
Control_2022_Aug_A,0.95,BNBUSDT,2.8183800498883995,0.09319041256660288,1
Control_2022_Aug_A,0.95,BTCUSDT,0.21245282310607072,0.6448516618031332,1
Control_2022_Aug_A,0.95,DOGEUSDT,5.636640879540479,0.017588874934827414,1
Control_2022_Aug_A,0.95,DOTUSDT,0.006628866620844779,0.935109652415703,1
Control_2022_Aug_A,0.95,ETCUSDT,1.3665499014652456,0.24240554394645641,1
Control_2022_Aug_A,0.95,ETHUSDT,0.5470408535734224,0.45952932687490333,1
Control_2022_Aug_A,0.95,FILUSDT,0.015217516688901998,0.9018225854124878,1
Control_2022_Aug_A,0.95,LINKUSDT,0.6067002393615615,0.43603294033717455,1
Control_2022_Aug_A,0.95,LTCUSDT,0.0026084497782323302,0.9592673628818646,1
Control_2022_Aug_A,0.95,NEARUSDT,3.7127965830529126,0.053996849194127394,1
Control_2022_Aug_A,0.95,SOLUSDT,0.5234546915323834,0.469371717839404,1
Control_2022_Aug_A,0.95,TRXUSDT,0.16256762986500795,0.6868034806553023,1
Control_2022_Aug_A,0.95,UNIUSDT,1.1969872595522535,0.273924660544106,1
Control_2022_Aug_A,0.95,XRPUSDT,0.1720636433392866,0.6782842572175896,1
Control_2022_Aug_A,0.97,ADAUSDT,0.10137533871247072,0.750185374959851,1
Control_2022_Aug_A,0.97,ATOMUSDT,1.0244643185195939,0.31146239577813895,1
Control_2022_Aug_A,0.97,AVAXUSDT,0.2233121804238189,0.6365277095452626,1
Control_2022_Aug_A,0.97,BCHUSDT,0.18948255333000602,0.6633476331995801,1
Control_2022_Aug_A,0.97,BNBUSDT,0.0044474436123513985,0.9468291668483608,1
Control_2022_Aug_A,0.97,BTCUSDT,3.298588267714095,0.06933945208192305,1
Control_2022_Aug_A,0.97,DOGEUSDT,6.539911005576473,0.010548062566428373,1
Control_2022_Aug_A,0.97,DOTUSDT,0.1325117394201223,0.7158418653617129,1
Control_2022_Aug_A,0.97,ETCUSDT,0.19432467563362146,0.6593413397643506,1
Control_2022_Aug_A,0.97,ETHUSDT,0.21019327584753897,0.6466159585628322,1
Control_2022_Aug_A,0.97,FILUSDT,0.0025730285346738857,0.9595446323153144,1
Control_2022_Aug_A,0.97,LINKUSDT,0.6571353603800153,0.41757309410834675,1
Control_2022_Aug_A,0.97,LTCUSDT,0.21574724487477795,0.6422995870793582,1
Control_2022_Aug_A,0.97,NEARUSDT,0.5158015413608141,0.4726381406289988,1
Control_2022_Aug_A,0.97,SOLUSDT,0.14445345800561132,0.7038932071384202,1
Control_2022_Aug_A,0.97,TRXUSDT,0.24815474823862096,0.6183773832511592,1
Control_2022_Aug_A,0.97,UNIUSDT,0.6367429233141779,0.42489269862345913,1
Control_2022_Aug_A,0.97,XRPUSDT,0.3794165119720505,0.5379156747717586,1
Control_2022_Aug_B,0.95,ADAUSDT,0.8959905787794082,0.343859064151963,1
Control_2022_Aug_B,0.95,ATOMUSDT,0.6830311839043273,0.40854489700795626,1
Control_2022_Aug_B,0.95,AVAXUSDT,1.2853711846039275,0.2569027379514732,1
Control_2022_Aug_B,0.95,BCHUSDT,2.7094735878231693,0.0997539039615174,1
Control_2022_Aug_B,0.95,BNBUSDT,3.543935362012735,0.05976350834756694,1
Control_2022_Aug_B,0.95,BTCUSDT,5.0205906742461375,0.025047623279210396,1
Control_2022_Aug_B,0.95,DOGEUSDT,2.5244557538810146,0.1120934494339132,1
Control_2022_Aug_B,0.95,DOTUSDT,0.4286218679025671,0.5126659525665624,1
Control_2022_Aug_B,0.95,ETCUSDT,2.447097773111968,0.11774238423814776,1
Control_2022_Aug_B,0.95,ETHUSDT,4.324502272237442,0.037567399549409575,1
Control_2022_Aug_B,0.95,FILUSDT,6.985162083979986,0.0082188209732581,1
Control_2022_Aug_B,0.95,LINKUSDT,4.645209224246185,0.031140340910028153,1
Control_2022_Aug_B,0.95,LTCUSDT,0.003084729992443749,0.9557079883745743,1
Control_2022_Aug_B,0.95,NEARUSDT,1.778334610505865,0.18235395971448765,1
Control_2022_Aug_B,0.95,SOLUSDT,0.24092394553837423,0.6235395876570138,1
Control_2022_Aug_B,0.95,TRXUSDT,1.1842058083077127,0.27650143685262696,1
Control_2022_Aug_B,0.95,UNIUSDT,0.0968790752857297,0.7556075064322566,1
Control_2022_Aug_B,0.95,XRPUSDT,4.225995719993861,0.039809254924192405,1
Control_2022_Aug_B,0.97,ADAUSDT,0.22691517694784463,0.633820672435331,1
Control_2022_Aug_B,0.97,ATOMUSDT,0.1848842413310178,0.6672089709279931,1
Control_2022_Aug_B,0.97,AVAXUSDT,0.18943983562214395,0.6633832468832452,1
Control_2022_Aug_B,0.97,BCHUSDT,0.766497117381299,0.38130288323472694,1
Control_2022_Aug_B,0.97,BNBUSDT,0.009610255429823451,0.9219069546713876,1
Control_2022_Aug_B,0.97,BTCUSDT,1.2285559063767018,0.26768806380934995,1
Control_2022_Aug_B,0.97,DOGEUSDT,6.273396201344049,0.012256400168897508,1
Control_2022_Aug_B,0.97,DOTUSDT,0.015907382089494933,0.8996333973887444,1
Control_2022_Aug_B,0.97,ETCUSDT,5.477669827523718,0.01926091802238905,1
Control_2022_Aug_B,0.97,ETHUSDT,3.704207921418821,0.05427542656790463,1
Control_2022_Aug_B,0.97,FILUSDT,0.8983287518801492,0.3432302297662412,1
Control_2022_Aug_B,0.97,LINKUSDT,1.356932185585085,0.24406986897763494,1
